"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000000003.15",2983.51588947524,-0.0751697959152916,0.0952265140659723,-0.789378847399732,0.429890615136928,0.616353656162687,"TSPAN6"
"ENSG00000000005.6",5.52528295892501,-0.324963422758406,0.360362699557396,-0.901767644535718,0.367180310771252,0.559782676367217,"TNMD"
"ENSG00000000419.13",1532.56866216089,-0.0213366809796025,0.0638864569234185,-0.333978154480832,0.738396043326246,0.850690179475011,"DPM1"
"ENSG00000000457.14",716.492314661768,-0.12677804910494,0.0547921911230395,-2.31379776034603,0.0206788182882037,0.0870372291591701,"SCYL3"
"ENSG00000000460.17",382.387527403888,0.015807968999339,0.0940869960318728,0.168014387386584,0.866571960479514,0.928693690619354,"C1orf112"
"ENSG00000000938.13",1311.40222570626,0.0252436905915107,0.139436009104253,0.181041402100347,0.856335078746586,0.923048169460523,"FGR"
"ENSG00000000971.16",5185.00726279096,0.0562018511136333,0.125823878316607,0.446670789881504,0.655112775235537,0.794386277167714,"CFH"
"ENSG00000001036.14",2349.66093600381,0.159492882198191,0.0715286097413788,2.22977746631535,0.0257622200743061,0.100332749380122,"FUCA2"
"ENSG00000001084.13",4432.89357367307,0.601305166768997,0.183934764913201,3.2691218924968,0.00107881816121857,0.01158314387652,"GCLC"
"ENSG00000001167.14",1814.82847083067,0.115738068348362,0.0639340732903791,1.81027208797876,0.0702536033001726,0.194491369921224,"NFYA"
"ENSG00000001460.18",551.54635042142,0.0180373462905327,0.0730943942811887,0.246767846808394,0.80508789558967,0.892626592109594,"STPG1"
"ENSG00000001461.17",2221.39695471762,-0.0556371591096814,0.0755854767630744,-0.736082664187967,0.461680392174054,0.644015808298102,"NIPAL3"
"ENSG00000001497.18",1939.7996009788,0.0719844171446555,0.0525435936283951,1.36999417386165,0.170688720334991,0.344533743549949,"LAS1L"
"ENSG00000001561.7",2263.19802414194,-0.155716541220721,0.0923191808838439,-1.68671926819459,0.0916573452987892,0.231404971942792,"ENPP4"
"ENSG00000001617.12",1809.63182355317,-0.0863146334200976,0.110603417768636,-0.780397524429611,0.435156924571727,0.620989262313181,"SEMA3F"
"ENSG00000001626.16",927.383577353986,-0.637953359492367,0.205439358035332,-3.10531227118929,0.00190078235795546,0.017318989656633,"CFTR"
"ENSG00000001629.10",3255.79010983862,0.0550559203909109,0.0691470269638331,0.79621529382178,0.425906909725533,0.613389226348236,"ANKIB1"
"ENSG00000001630.17",131.066096325104,0.227468345566664,0.113931097971055,1.99654308277143,0.0458748411467026,0.147298834808745,"CYP51A1"
"ENSG00000001631.16",305.36223381214,-0.143022642147564,0.0709631810036766,-2.01544857663799,0.0438576689921238,0.143166327459043,"KRIT1"
"ENSG00000002016.18",380.425233831332,-0.148830623641694,0.0729847902703583,-2.03920053877499,0.0414300171687011,0.137767634997759,"RAD52"
"ENSG00000002079.14",44.4966032315297,0.25704441592172,0.214449899126041,1.19862222817202,0.230674871007308,0.417153334925147,"MYH16"
"ENSG00000002330.14",457.914339551902,0.13807218273789,0.084323150277392,1.63741727252461,0.101543311602955,0.246855164161897,"BAD"
"ENSG00000002549.12",5931.13108407672,0.168541603485583,0.0737891624031326,2.2840969865573,0.0223658316509084,0.0915031380922852,"LAP3"
"ENSG00000002586.20",8253.8629316288,0.249224820146769,0.0845735348155158,2.94684171224976,0.0032103749163931,0.0247873404664832,"CD99"
"ENSG00000002587.10",1119.83885974926,0.263680747104997,0.14319800316449,1.84137167612673,0.0655671105538053,0.186097682154121,"HS3ST1"
"ENSG00000002726.21",1556.99900761319,0.26805055453145,0.269875482173669,0.993237890202101,0.320594037377174,0.514377056581531,"AOC1"
"ENSG00000002745.13",32.24211832889,-1.57954537881524,0.214709818580214,-7.35665182552017,1.88580371992113e-13,3.48800351374078e-10,"WNT16"
"ENSG00000002746.15",83.7497700418878,-0.028532865443679,0.161878289696921,-0.176261223769414,0.860088723992398,0.924990596242495,"HECW1"
"ENSG00000002822.15",37.3628082834348,0.18939517935742,0.128868998676628,1.4696721577908,0.141650566893721,0.305696008530023,"MAD1L1"
"ENSG00000002834.18",12106.3738353243,0.0958786615384335,0.0752274738575614,1.27451656451968,0.202480405993932,0.383391921558095,"LASP1"
"ENSG00000002919.15",1294.05341982716,0.0449930696457664,0.0597033783828189,0.753610111596537,0.451083370862076,0.634729959273779,"SNX11"
"ENSG00000002933.9",3411.69829628666,0.104711708574791,0.144621523872309,0.724039588099243,0.469041431220218,0.650226718933995,"TMEM176A"
"ENSG00000003056.8",3341.16507778268,0.0578365378209598,0.0692452695161664,0.835241717233217,0.4035816255437,0.593272830237831,"M6PR"
"ENSG00000003096.14",179.648142760151,-0.196393178604932,0.171503689232813,-1.14512509604579,0.252157340994672,0.44246355369809,"KLHL13"
"ENSG00000003137.8",316.98862014506,-0.000603377948685273,0.1541284041313,-0.00391477451600201,0.996876469832915,0.998496871505515,"CYP26B1"
"ENSG00000003147.19",1884.13699022789,0.0263975284517254,0.091537091938066,0.288380675995103,0.773055358038925,0.873132407154312,"ICA1"
"ENSG00000003249.15",1393.82297631159,0.157258229107449,0.121350162029262,1.29590456640288,0.195008365831165,0.374569521930248,"DBNDD1"
"ENSG00000003393.15",1332.53160153923,-0.098611262322216,0.0470854938184436,-2.09430239178227,0.0362330514187049,0.125853623461966,"ALS2"
"ENSG00000003400.15",1690.64218034949,-0.12752736152512,0.0756628111743541,-1.68546951330227,0.0918980219520618,0.231697473896765,"CASP10"
"ENSG00000003402.20",7883.99507040223,-0.179112199566426,0.0824284967061577,-2.17294026609424,0.0297848133779182,0.110131696111843,"CFLAR"
"ENSG00000003436.16",8912.19661009096,0.00821385167911082,0.147970733752478,0.0555099746470863,0.955732183584893,0.977234818743333,"TFPI"
"ENSG00000003509.16",575.465399978802,-0.0803530810107168,0.0515221094073128,-1.55958445675192,0.118858111954589,0.273200402198604,"NDUFAF7"
"ENSG00000003756.17",2631.84516339751,-0.290407472645093,0.0651462183587631,-4.45777943772278,8.28130456671088e-06,0.000347241149797866,"RBM5"
"ENSG00000003987.14",248.896635597076,-1.66788788509553,0.198102843281984,-8.41930311278481,3.78730359922128e-17,1.05075582274062e-13,"MTMR7"
"ENSG00000003989.18",5282.82723217169,-0.290241740915476,0.214375583376046,-1.3538936493824,0.175770309902019,0.351234675443725,"SLC7A2"
"ENSG00000004059.11",3910.50539025444,0.128422225460126,0.0856009594843639,1.50024282710972,0.133551513225626,0.294673638400211,"ARF5"
"ENSG00000004139.14",254.465850199514,-0.265291022081938,0.0863332269840324,-3.07287276694759,0.00212008859350444,0.0185706530399062,"SARM1"
"ENSG00000004142.12",4998.25901206654,0.153209955353325,0.0639818816893039,2.39458345563066,0.0166392563174463,0.0754522964555623,"POLDIP2"
"ENSG00000004399.13",9221.59419331393,-0.0451965098313963,0.0977522794366548,-0.462357605284125,0.643824896059932,0.78608120377451,"PLXND1"
"ENSG00000004455.17",6964.23385699247,-0.101196738041938,0.0663668331412314,-1.52480890306438,0.127306768630669,0.286032139831344,"AK2"
"ENSG00000004468.13",1121.07317842248,-0.0934648083030383,0.144017153010399,-0.648983863028384,0.516348806619423,0.690501638261101,"CD38"
"ENSG00000004478.8",4037.50734766718,0.279466032626819,0.105773529593958,2.64211692376751,0.00823896078252242,0.0470506508089023,"FKBP4"
"ENSG00000004487.17",3962.23530335347,0.0761878802208071,0.0616247460119244,1.23631958184566,0.216339795127902,0.400029326442487,"KDM1A"
"ENSG00000004534.15",3111.97043152,-0.240266127963116,0.0678159250161088,-3.54291603197986,0.000395728682513103,0.00578104213554574,"RBM6"
"ENSG00000004660.15",504.269697434764,-0.225570260878137,0.0889671493440338,-2.53543316315399,0.0112308357631497,0.0580017560395917,"CAMKK1"
"ENSG00000004700.16",1050.86019753863,-0.00804123522780559,0.0885230706477647,-0.0908377349425874,0.927621525835736,0.961940499492209,"RECQL"
"ENSG00000004766.17",1173.12269237664,-0.0475585125609092,0.0576646347844263,-0.824743150437041,0.409517428144322,0.598777983847165,"VPS50"
"ENSG00000004776.13",126.753647777827,-0.0359318232089923,0.201983801634641,-0.177894578269141,0.858805768847971,0.924357314827864,"HSPB6"
"ENSG00000004777.18",390.150774960095,-0.279331434552749,0.134117809445817,-2.08273185870664,0.0372756717809852,0.128372687655098,"ARHGAP33"
"ENSG00000004779.10",2168.63503228825,0.17477001932347,0.07159717532961,2.44101835748248,0.014645910247925,0.0691857828726449,"NDUFAB1"
"ENSG00000004799.8",3342.4659551209,-0.245865008977514,0.184659822968352,-1.33144830870791,0.183041542835327,0.360314674251555,"PDK4"
"ENSG00000004809.14",11.3713448886727,-0.0301607311990216,0.179290449795367,-0.168222742669481,0.866408049834303,0.928693690619354,"SLC22A16"
"ENSG00000004838.14",391.464626042066,-0.877648683912084,0.210582389934843,-4.16772116692018,3.07659950698243e-05,0.000909371148878657,"ZMYND10"
"ENSG00000004846.16",6.50797162205549,0.0763385771933851,0.210265491279837,0.363058040236321,0.716561528111369,0.836785849361823,"ABCB5"
"ENSG00000004848.8",147.734940104729,-0.198592593026883,0.262489541902293,-0.756573353695003,0.449305510317397,0.633338054015064,"ARX"
"ENSG00000004864.14",1663.28376040517,0.0475157675248577,0.0826568407049245,0.574855839149279,0.565388798447892,0.727899816965417,"SLC25A13"
"ENSG00000004866.22",1570.87331816359,0.143859241761126,0.074541578213585,1.92991945178467,0.0536168188443776,0.16301961185259,"ST7"
"ENSG00000004897.12",2840.2785325997,0.0918683138958623,0.0516523755634996,1.778588359076,0.0753072739860344,0.203622599920169,"CDC27"
"ENSG00000004939.15",8.49933697251065,-0.372088601099976,0.23587456163363,-1.57748507733495,0.114683953092612,0.266967756279704,"SLC4A1"
"ENSG00000004948.16",39.3512825628342,-0.0144668328918518,0.218101098712213,-0.0663308574659724,0.947114416608989,0.972211521705359,"CALCR"
"ENSG00000004961.15",1012.51042353798,0.20818538580611,0.0578827415685911,3.59667459011785,0.000322311279551349,0.00504675391529593,"HCCS"
"ENSG00000004975.12",1451.62410733297,0.0583475776416955,0.0642371407743772,0.908315297634933,0.363711662496125,0.556457682858467,"DVL2"
"ENSG00000005001.10",1272.96424613954,0.184924444753319,0.149124711064006,1.24006573715303,0.214951080639472,0.398217479702294,"PRSS22"
"ENSG00000005007.13",5733.03708873186,0.0228968682786079,0.0629316760631495,0.363836937310103,0.71597977828837,0.836331301612332,"UPF1"
"ENSG00000005020.13",3150.84265615832,0.148227738363398,0.0849836110862399,1.74419204442818,0.0811256081074967,0.214035571021704,"SKAP2"
"ENSG00000005022.6",12372.3316835172,0.0394975201414174,0.0836818817857853,0.471996079659465,0.636929586844607,0.780941478306851,"SLC25A5"
"ENSG00000005059.16",929.683151179952,0.271359596228189,0.0956746909428192,2.83627355943453,0.00456433321568791,0.0314357355709345,"MCUB"
"ENSG00000005073.6",25.7046313202286,0.539656812254951,0.389545682995452,1.38534923068638,0.165945706973508,0.337974248528692,"HOXA11"
"ENSG00000005075.15",1567.13867274714,0.122810140594629,0.0914450587930056,1.3429937299578,0.179274004121178,0.35539891742327,"POLR2J"
"ENSG00000005100.13",1037.82971335819,0.0297157577823077,0.0581161107418999,0.511317041057318,0.60912907430379,0.761279863012728,"DHX33"
"ENSG00000005102.14",52.7941276771082,-0.190032597068012,0.16284062292556,-1.16698520095248,0.243216346045447,0.431848414433569,"MEOX1"
"ENSG00000005108.16",378.08442850908,-0.283596875832401,0.146600584580772,-1.93448666417935,0.0530533201520066,0.161927409957898,"THSD7A"
"ENSG00000005156.12",1519.01145012961,0.0905551707112665,0.0678619367105925,1.33440298200525,0.18207182328501,0.359099395323902,"LIG3"
"ENSG00000005175.10",1352.23705954034,-0.0357326258621251,0.0531674666357678,-0.672076894445943,0.501534745091746,0.677887284671347,"RPAP3"
"ENSG00000005187.12",564.411395676973,-0.240644077281193,0.139451936126647,-1.72564170828468,0.0844118909508587,0.219402380000542,"ACSM3"
"ENSG00000005189.20",214.904452961966,-0.0261811950836266,0.0909468274236299,-0.287873649090305,0.773443458441427,0.873334002438203,"REXO5"
"ENSG00000005194.15",2122.56644198336,0.134336180714284,0.0609930591580861,2.20248307870739,0.0276312031149323,0.104858730799663,"CIAPIN1"
"ENSG00000005206.17",1692.59834757356,-0.0436176701493069,0.0902128068846521,-0.483497539380161,0.628742506482874,0.775573333395122,"SPPL2B"
"ENSG00000005238.20",1192.69052272465,0.145832846783593,0.0670376071925565,2.17538860485739,0.029601007700293,0.109707931578076,"FAM214B"
"ENSG00000005243.10",494.772998269612,0.110304739767794,0.107074251164446,1.03017054584287,0.302929953694932,0.496038114714017,"COPZ2"
"ENSG00000005249.13",770.6196111721,-0.150833635144511,0.129160548764296,-1.16779958421952,0.24288761587703,0.431484840477774,"PRKAR2B"
"ENSG00000005302.19",1423.43770293169,-0.0566344659901693,0.0444809952979823,-1.27322838913045,0.202937009410165,0.383819908782176,"MSL3"
"ENSG00000005339.15",5139.33018781664,-0.027258272088965,0.0578024728349098,-0.471576227661014,0.637229298186808,0.781161186786258,"CREBBP"
"ENSG00000005379.17",800.9390293419,-0.387197094702127,0.1327217837476,-2.91735903307681,0.00353009174700359,0.0264344004797549,"TSPOAP1"
"ENSG00000005381.8",27.5301421378144,0.0196820644800344,0.158774347441867,0.123962496443204,0.901344969471581,0.947656100190025,"MPO"
"ENSG00000005421.9",78.1593201386478,-0.0564751954206705,0.20200845973012,-0.279568467063807,0.779808602380044,0.877663628648078,"PON1"
"ENSG00000005436.14",700.134100036729,0.00815492552885166,0.0617848925695833,0.131988989374181,0.894993000759174,0.944497336575225,"GCFC2"
"ENSG00000005448.17",714.256187958146,-0.0997166845119399,0.0939734786296093,-1.06111517809155,0.288637560873003,0.481088226150065,"WDR54"
"ENSG00000005469.12",714.82754671336,-0.000717137271882406,0.0814102458891588,-0.00880893140721868,0.992971580530823,0.996713785293436,"CROT"
"ENSG00000005471.19",95.9010731304401,0.00842612393706874,0.166871668261771,0.0504946347384189,0.959728224811077,0.97958893214284,"ABCB4"
"ENSG00000005483.21",3889.95416307861,-0.191926879877381,0.0581591454733199,-3.300029226967,0.000966747598692097,0.010742966556494,"KMT2E"
"ENSG00000005486.17",5383.06968072903,0.0497947969444222,0.0767782195500771,0.648553681450564,0.516626902396586,0.690599030815448,"RHBDD2"
"ENSG00000005513.10",44.9209834342787,-0.159858835341294,0.172473930353636,-0.926857960582932,0.354000286760052,0.547484447671346,"SOX8"
"ENSG00000005700.15",3163.19085356895,0.00279964117809568,0.0569482595234806,0.0491611368200173,0.960790882121771,0.980293038821651,"IBTK"
"ENSG00000005801.18",1210.69853197296,-0.189040432789043,0.0768264504036111,-2.4606165167844,0.0138698527293086,0.0667530860980447,"ZNF195"
"ENSG00000005810.18",2543.98489323041,-0.179110092982342,0.0889339081670312,-2.01396853769146,0.044012836824871,0.143398748590945,"MYCBP2"
"ENSG00000005812.11",1930.906220098,0.0186814607929013,0.0688296463908176,0.27141590539093,0.786071170284729,0.881196924889373,"FBXL3"
"ENSG00000005844.19",1750.08169573686,-0.181586617454923,0.121767197181877,-1.49126055011102,0.135893102001921,0.297705586744189,"ITGAL"
"ENSG00000005882.12",799.369836665215,-0.0213218419993469,0.0842934319600567,-0.252947845443646,0.80030851605147,0.890113964886135,"PDK2"
"ENSG00000005884.18",24184.6666491011,0.29286661738899,0.123591519479386,2.36963360125885,0.017805720780425,0.0790618647562936,"ITGA3"
