id	filename	md5	size	state
07a53d2a-ebf6-4517-880a-064bae5ee972	07a53d2a-ebf6-4517-880a-064bae5ee972/d20f5121-5e33-4b35-8cdf-df2eb51a099d.rna_seq.augmented_star_gene_counts.tsv	ba99497a83fd8312faf8218093ec83fe	4236934	validated
0c212a58-9a27-4850-bb22-540502e893dc	0c212a58-9a27-4850-bb22-540502e893dc/57d89d75-a9bb-4bd3-af76-d29def9a9625.rna_seq.augmented_star_gene_counts.tsv	87a42acee64207ba01415d1af99e9b4b	4237046	validated
0e9c2659-4131-4274-b0b4-3e191239f5f3	0e9c2659-4131-4274-b0b4-3e191239f5f3/29000c50-6667-4281-a97a-5f02cb24a8f4.rna_seq.augmented_star_gene_counts.tsv	c212fbcd1096dfdda2d62f47fb9baec0	4223489	validated
12272d02-341e-43a2-aa23-7232a8dde730	12272d02-341e-43a2-aa23-7232a8dde730/d4db8bd3-6f2f-4c34-a4a7-1e23342e62b5.rna_seq.augmented_star_gene_counts.tsv	295046bc13ef8d662a8ff4de95d891a4	4235952	validated
129f7ee5-6342-4a24-9317-d52462ce6a70	129f7ee5-6342-4a24-9317-d52462ce6a70/059b5dc1-45f7-4d7c-b07a-878b6db6d881.rna_seq.augmented_star_gene_counts.tsv	3d36ac641444458dae35b1bc7beed92e	4227408	validated
12f5eaa4-9f64-4465-bfa6-3d9307e9f980	12f5eaa4-9f64-4465-bfa6-3d9307e9f980/2f966635-6a77-4205-9bab-df5940a973aa.rna_seq.augmented_star_gene_counts.tsv	914d8ad3782376433aefd88dc523a086	4218314	validated
13f74ba9-96c5-4074-9589-3ce0e183c0e9	13f74ba9-96c5-4074-9589-3ce0e183c0e9/c649e0cf-b787-4d0c-bab6-d81f7e491b15.rna_seq.augmented_star_gene_counts.tsv	3ebf73beefd3e40a73d0bbdad01689bc	4226785	validated
157223aa-aab5-4522-8ff2-8104ea3561d9	157223aa-aab5-4522-8ff2-8104ea3561d9/e40ae18a-9f57-4069-b99f-260c93b52e9f.rna_seq.augmented_star_gene_counts.tsv	11b684d65c727ce1b971cdf37acb6ad2	4257201	validated
15998b11-5041-4e2d-94d9-cf714c796c13	15998b11-5041-4e2d-94d9-cf714c796c13/22d87348-bca7-4428-b8e2-2f161d77bcc5.rna_seq.augmented_star_gene_counts.tsv	3cdbc28b5bfcb065f57a3f4584ad6cec	4248837	validated
19bb0296-340e-4594-9a87-4134b15c7187	19bb0296-340e-4594-9a87-4134b15c7187/12da2172-3304-4dad-bd80-3039e6d49de3.rna_seq.augmented_star_gene_counts.tsv	dce3133c7cd7dfbc744622005b96324f	4265371	validated
